day;region;team;elo
40;LEC;Fnatic;2643.4
40;LEC;Origen;2634.6
41;LEC;G2 Esports;2736.1
41;LEC;MAD Lions;2643.7
41;LEC;SK Gaming;2550.8
41;LEC;Team Vitality;2478.1
41;LEC;Rogue;2596.6
41;LEC;Misfits Gaming;2652.8
41;LEC;Excel Esports;2594.5
41;LEC;Schalke 04;2469.4
41;LEC;Fnatic;2643.4
41;LEC;Origen;2634.6
42;LEC;G2 Esports;2736.1
42;LEC;MAD Lions;2643.7
42;LEC;SK Gaming;2550.8
42;LEC;Team Vitality;2478.1
42;LEC;Rogue;2596.6
42;LEC;Misfits Gaming;2652.8
42;LEC;Excel Esports;2594.5
42;LEC;Schalke 04;2469.4
42;LEC;Fnatic;2643.4
42;LEC;Origen;2634.6
43;LEC;G2 Esports;2736.1
43;LEC;MAD Lions;2643.7
43;LEC;SK Gaming;2550.8
43;LEC;Team Vitality;2478.1
43;LEC;Rogue;2596.6
43;LEC;Misfits Gaming;2652.8
43;LEC;Excel Esports;2594.5
43;LEC;Schalke 04;2469.4
43;LEC;Fnatic;2643.4
43;LEC;Origen;2634.6
44;LEC;G2 Esports;2736.1
44;LEC;MAD Lions;2643.7
44;LEC;SK Gaming;2550.8
44;LEC;Team Vitality;2478.1
44;LEC;Rogue;2596.6
44;LEC;Misfits Gaming;2652.8
44;LEC;Excel Esports;2594.5
44;LEC;Schalke 04;2469.4
44;LEC;Fnatic;2643.4
44;LEC;Origen;2634.6
45;LEC;G2 Esports;2705.2
45;LEC;MAD Lions;2618.0
45;LEC;SK Gaming;2528.9
45;LEC;Team Vitality;2464.2
45;LEC;Rogue;2612.8
45;LEC;Misfits Gaming;2683.7
45;LEC;Excel Esports;2616.4
45;LEC;Schalke 04;2453.2
45;LEC;Fnatic;2657.3
45;LEC;Origen;2660.3
46;LEC;G2 Esports;2664.7
46;LEC;MAD Lions;2645.8
46;LEC;SK Gaming;2509.8
46;LEC;Team Vitality;2453.2
46;LEC;Rogue;2631.9
46;LEC;Misfits Gaming;2694.7
46;LEC;Excel Esports;2594.5
46;LEC;Schalke 04;2493.7
46;LEC;Fnatic;2629.5
46;LEC;Origen;2682.2
47;LEC;G2 Esports;2664.7
47;LEC;MAD Lions;2645.8
47;LEC;SK Gaming;2509.8
47;LEC;Team Vitality;2453.2
47;LEC;Rogue;2631.9
47;LEC;Misfits Gaming;2694.7
47;LEC;Excel Esports;2594.5
47;LEC;Schalke 04;2493.7
47;LEC;Fnatic;2629.5
47;LEC;Origen;2682.2
48;LEC;G2 Esports;2664.7
48;LEC;MAD Lions;2645.8
48;LEC;SK Gaming;2509.8
48;LEC;Team Vitality;2453.2
48;LEC;Rogue;2631.9
48;LEC;Misfits Gaming;2694.7
48;LEC;Excel Esports;2594.5
48;LEC;Schalke 04;2493.7
48;LEC;Fnatic;2629.5
48;LEC;Origen;2682.2
49;LEC;G2 Esports;2664.7
49;LEC;MAD Lions;2645.8
49;LEC;SK Gaming;2509.8
49;LEC;Team Vitality;2453.2
49;LEC;Rogue;2631.9
49;LEC;Misfits Gaming;2694.7
49;LEC;Excel Esports;2594.5
49;LEC;Schalke 04;2493.7
49;LEC;Fnatic;2629.5
49;LEC;Origen;2682.2
50;LEC;G2 Esports;2664.7
50;LEC;MAD Lions;2645.8
50;LEC;SK Gaming;2509.8
50;LEC;Team Vitality;2453.2
50;LEC;Rogue;2631.9
50;LEC;Misfits Gaming;2694.7
50;LEC;Excel Esports;2594.5
50;LEC;Schalke 04;2493.7
50;LEC;Fnatic;2629.5
50;LEC;Origen;2682.2
51;LEC;G2 Esports;2664.7
51;LEC;MAD Lions;2645.8
51;LEC;SK Gaming;2509.8
51;LEC;Team Vitality;2453.2
51;LEC;Rogue;2631.9
51;LEC;Misfits Gaming;2694.7
51;LEC;Excel Esports;2594.5
51;LEC;Schalke 04;2493.7
51;LEC;Fnatic;2629.5
51;LEC;Origen;2682.2
52;LEC;G2 Esports;2684.7
52;LEC;MAD Lions;2624.3
52;LEC;SK Gaming;2496.3
52;LEC;Team Vitality;2431.1
52;LEC;Rogue;2606.7
52;LEC;Misfits Gaming;2716.2
52;LEC;Excel Esports;2574.5
52;LEC;Schalke 04;2515.8
52;LEC;Fnatic;2654.7
52;LEC;Origen;2695.7
53;LEC;G2 Esports;2655.4
53;LEC;MAD Lions;2653.6
53;LEC;SK Gaming;2466.7
53;LEC;Team Vitality;2460.7
53;LEC;Rogue;2639.3
53;LEC;Misfits Gaming;2683.6
53;LEC;Excel Esports;2595.3
53;LEC;Schalke 04;2495.0
53;LEC;Fnatic;2682.6
53;LEC;Origen;2667.8
54;LEC;G2 Esports;2655.4
54;LEC;MAD Lions;2653.6
54;LEC;SK Gaming;2466.7
54;LEC;Team Vitality;2460.7
54;LEC;Rogue;2639.3
54;LEC;Misfits Gaming;2683.6
54;LEC;Excel Esports;2595.3
54;LEC;Schalke 04;2495.0
54;LEC;Fnatic;2682.6
54;LEC;Origen;2667.8
55;LEC;G2 Esports;2655.4
55;LEC;MAD Lions;2653.6
55;LEC;SK Gaming;2466.7
55;LEC;Team Vitality;2460.7
55;LEC;Rogue;2639.3
55;LEC;Misfits Gaming;2683.6
55;LEC;Excel Esports;2595.3
55;LEC;Schalke 04;2495.0
55;LEC;Fnatic;2682.6
55;LEC;Origen;2667.8
56;LEC;G2 Esports;2655.4
56;LEC;MAD Lions;2653.6
56;LEC;SK Gaming;2466.7
56;LEC;Team Vitality;2460.7
56;LEC;Rogue;2639.3
56;LEC;Misfits Gaming;2683.6
56;LEC;Excel Esports;2595.3
56;LEC;Schalke 04;2495.0
56;LEC;Fnatic;2682.6
56;LEC;Origen;2667.8
57;LEC;G2 Esports;2655.4
57;LEC;MAD Lions;2653.6
57;LEC;SK Gaming;2466.7
57;LEC;Team Vitality;2460.7
57;LEC;Rogue;2639.3
57;LEC;Misfits Gaming;2683.6
57;LEC;Excel Esports;2595.3
57;LEC;Schalke 04;2495.0
57;LEC;Fnatic;2682.6
